ID,Part Number,x,y,rotation,sector
152,C152,71.30616165976677,-8.386818283013177,276.7081392327037,A151
153,C153,73.1845430309844,-2.5200023756651415,271.9721169339947,A152
154,C154,70.8903646746335,1.1815859834938474,629.0450941819063,A153
155,C155,77.93924578926428,6.233748281572804,805.4270950886392,A154
156,C156,74.54450247517651,3.598762707245056,807.2360946352597,A155
157,C157,76.84808323220602,-0.21878212553272572,450.16311738734817,A156
158,C158,75.20958544263968,-6.4465983502651705,454.8991396860571,A157
159,C159,76.95504329298245,-10.57733053763768,457.8261624381456,A158
160,C160,74.50275000808105,-16.60171657714784,462.56218473685453,A159
161,C161,71.5674609047183,-22.28832501448135,467.29820703556345,A160
162,C162,72.4077119223077,-26.67705701428978,470.225229787652,A161
163,C163,68.72724669042029,-31.99147403909877,474.9612520863609,A162
164,C164,68.93458905039978,-36.48092633605093,477.8882748384494,A163
165,C165,64.65101135792715,-36.87220982112027,479.6972743850698,A164
166,C166,64.55598476790922,-41.32385765683478,482.62429713715835,A165
167,C167,59.837474709359675,-45.68357362264305,487.36031943586727,A166
168,C168,59.10390222104845,-50.10131023451355,490.2873421879557,A167
169,C169,53.80991896639112,-53.853822866837966,495.0233644866647,A168
170,C170,48.2909468282313,-57.0625247382423,499.75938678537364,A169
171,C171,46.65594967394445,-61.214561377323506,502.68640953746205,A170
172,C172,50.74551009052851,-62.392059275046236,320.8774099908416,A171
173,C173,52.44682694565606,-58.14676938099862,317.95038723875314,A172
174,C174,56.61212040310183,-58.91381393298662,316.14138769213264,A173
175,C175,58.027542276945695,-54.51887345060455,313.2143649400442,A174
176,C176,63.34435427340798,-50.34729298316614,308.47834264133525,A175
177,C177,64.1201494764999,-45.82316694137562,305.55131988924677,A176
178,C178,68.80759599709747,-41.04246286826575,300.81529759053785,A177
179,C179,73.11729096307504,-35.78700212826365,296.0792752918289,A178
180,C180,72.92570716807076,-31.184087173942363,293.1522525397404,A179
181,C181,76.48446434156035,-25.467060533580085,288.4162302410315,A180
182,C182,75.64905734271233,-20.963995591086295,285.489207488943,A181
183,C183,79.56907984055744,-19.367733832501077,283.6802079423225,A182
184,C184,78.41118351885257,-14.89134454396208,280.75318519023403,A183
185,C185,80.65759314501487,-8.501883217400065,276.0171628915251,A184
186,C186,78.8896347405986,-4.2588943184891646,273.09014013943664,A185
187,C187,80.27586662218603,2.306644089806583,628.3541178407277,A186
188,C188,83.477216032116,5.03970731189687,806.5451182940811,A187
189,C189,82.35571771223707,-1.8417908163763776,451.2811405927901,A188
190,C190,84.16641299298115,-6.192851605932811,454.2081633448786,A189
191,C191,82.14123434276064,-12.927881354913815,458.9441856435875,A190
192,C192,80.42068705071077,-23.985499482290876,466.60723069438495,A191
193,C193,77.00281598948533,-30.089129421702,471.34325299309387,A192
194,C194,77.19886876031234,-34.80842253388331,474.27027574518235,A193
195,C195,72.97916924015735,-40.463501527548146,479.0062980438913,A194
196,C196,68.34500654695304,-45.653424040006726,483.7423203426263,A195
197,C197,67.54643097910672,-50.29135890358403,486.6693430946887,A196
198,C198,62.23024249355723,-54.873696532796664,491.4053653933977,A197
199,C199,54.86214665268373,-63.26407987740698,499.0684104441951,A198
200,C200,48.71250035515158,-66.56799685548201,503.80443274290405,A199
201,C201,-1.1724960043998125,-4.361626693840596,555.0465843002271,B0
202,C202,-0.42885730372345016,-9.274434585730496,362.647516950719,B1
203,C203,1.9997383098337909,-6.375480845877771,342.5854045504163,B2
204,C204,5.286498049296536,-9.225643986643787,510.18633720090804,B3
205,C205,2.1215027612963926,-12.344417441917605,530.248449601211,B4
206,C206,-4.391444810075657,-10.493132872505692,562.7096293510219,B5
207,C207,-2.5402544070618633,-13.963484745635407,370.310562001514,B6
208,C208,0.6041821743186834,-16.567712142939495,357.911494652006,B7
209,C209,5.71244241514982,-14.032472595451122,337.84938225170305,B8
210,C210,9.877478176299647,-14.345154654303723,505.45031490219424,B9
211,C211,9.313237424120972,-18.368007597269248,513.11335995299,B10
212,C212,4.674688846259069,-18.09186778844862,525.512427302498,B11
213,C213,-1.9311899759617124,-19.786328699195618,545.5745397028002,B12
214,C214,-5.524334698648273,-17.028840767696874,557.9736070523081,B13
215,C215,-5.206793302754064,-22.13395727657611,373.23758475359597,B14
216,C216,-0.3563468395047497,-24.347392405142173,360.83851740408795,B15
217,C217,2.5775013068495665,-21.537152343855652,353.1754723532922,B16
218,C218,7.69483298827823,-22.06728577238248,340.7764050037842,B17
219,C219,13.078653416288423,-21.240218728619823,328.3773376542778,B18
220,C220,11.088492925466003,-24.95247874640851,516.040382705072,B19
221,C221,5.183922822008218,-25.34267838109001,528.4394500545784,B20
222,C222,1.91379244042946,-28.09054742618146,536.1024951053726,B21
223,C223,-3.956237818075063,-26.466868121303904,548.5015624548821,B22
224,C224,-9.023570339102735,-23.629615477307972,560.9006298043885,B23
225,C225,-12.545016884209566,-28.40622234283801,383.8276525564704,B24
226,C226,-8.068629439089321,-27.836574689757413,376.16460750567626,B25
227,C227,-6.39448034365561,-31.63163231512856,371.42858520696404,B26
228,C228,-1.9886065414365526,-30.214701282362103,363.7655401561699,B27
229,C229,4.732637561818317,-31.169736588626336,351.3664728066603,B28
230,C230,8.27457754844333,-28.303133927941495,343.70342775586613,B29
231,C231,14.772183696563227,-26.986821086765463,331.3043604063565,B30
232,C232,18.671206796830887,-28.282351089842845,506.5683381076443,B31
233,C233,15.515255405998262,-32.139761714380064,514.2313831584418,B32
234,C234,11.74626979036143,-30.54812476366824,518.967405457154,B33
235,C235,7.997246192932757,-33.648240008317025,526.6304505079481,B34
236,C236,3.614550191856117,-36.171572329511,534.293495558739,B35
